Spotify-Song,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,y
https://open.spotify.com/track/5vjLSffimiIP26QG5WcN2K,0.618,0.443,2,-9.681,0.0526,0.469,0,0.0829,119.949,0.167,198853,4,1
https://open.spotify.com/track/1EzrEOXmMH3G43AXT1y7pA,0.703,0.444,11,-9.331,0.0417,0.559,0,0.0973,150.96,0.712,242947,4,1
https://open.spotify.com/track/3TwtrR1yNLY1PMPsrGQpOp,0.382,0.416,0,-9.303,0.0302,0.0733,0,0.0719,102.089,0.125,221693,4,1
https://open.spotify.com/track/5JDcQAztvZTIkrWoZihgvC,0.447,0.393,5,-8.65,0.038,0.785,0,0.28,73.139,0.564,220239,3,1
https://open.spotify.com/track/5mD2K09f0lIPvVRJXmOiNm,0.637,0.467,7,-12.427,0.0303,0.0752,0.00222,0.0393,119.288,0.376,272760,4,1
https://open.spotify.com/track/5PGYWv9Xp4IraLSDs8h1bY,0.665,0.635,5,-5.302,0.0388,0.0756,0,0.208,113.046,0.299,202093,4,1
https://open.spotify.com/track/5ivF4eQBqJiVL5IAE9jRyl,0.483,0.303,4,-10.058,0.0429,0.694,0,0.115,133.406,0.139,240166,3,1
https://open.spotify.com/track/7x4b0UccXSKBWxWmjcrG2T,0.616,0.282,1,-15.317,0.0331,0.983,0.833,0.13,96.638,0.435,124933,4,1
https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW,0.703,0.444,11,-9.331,0.0417,0.559,0,0.0973,150.96,0.712,242947,4,1
https://open.spotify.com/track/3sLhMSePzxSrmxluIqeoAZ,0.733,0.399,10,-12.086,0.094,0.59,0.0254,0.0766,173.781,0.9,144867,3,-1
https://open.spotify.com/track/0qAMjeQFyd1qD0LDiV8gWp,0.748,0.786,4,-7.788,0.0641,0.328,0,0.34,104.833,0.917,172373,4,-1
https://open.spotify.com/track/2HUZVffVPXvqnrml0gXggp,0.661,0.342,9,-16.361,0.043,0.844,0.000128,0.26,146.118,0.588,188400,4,-1
https://open.spotify.com/track/6Uy6K3KdmUdAfelUp0SeXn,0.551,0.836,10,-3.838,0.0524,0.00502,2.1e-05,0.0425,185.063,0.758,220573,4,-1
https://open.spotify.com/track/3bHhUEOTIbezeZ856R0BX5,0.561,0.327,11,-10.835,0.0327,0.902,0.000469,0.111,161.858,0.298,236307,4,-1
https://open.spotify.com/track/4mOhgByssJQ5AdFaliWyEc,0.64,0.591,4,-5.097,0.0274,0.608,0,0.1,120.001,0.369,256000,4,-1
https://open.spotify.com/track/4E6cwWJWZw2zWf7VFbH7wf,0.583,0.786,2,-3.142,0.0301,0.0208,0,0.188,123.055,0.573,258827,4,-1
https://open.spotify.com/track/1m5eFhE34yyYv2lkjtcKPG,0.277,0.291,11,-9.851,0.0306,0.901,2.47e-05,0.103,75.119,0.175,245160,3,-1
https://open.spotify.com/track/4pR4oQJULf7FDB54TleMyH,0.443,0.778,0,-7.564,0.266,0.241,0,0.215,128.25,0.628,168000,5,-1
https://open.spotify.com/track/5pfMCigflH6yJXoRnmK0Hb,0.55,0.67,10,-10.242,0.127,0.214,0,0.346,114.264,0.75,372402,4,-1
